term,Artículo 123,CFF,CPEUM,LFPED,LFT,LFTSE,LIFNVT,LISR,LSAR,LSS,NOM-035,NOM-036,NOM-037,ResolucionMiscelaneaFisca,n152
abacá,0,0,0,0,0.0000178636,0,0,0,0,0,0,0,0,0,0
abajo,0,0,0,0,0.0000234366,0,0,0,0,0,0,0.000309908,0.000108572,0,0
abandera,0,0.0000159223,0,0,0,0,0,0,0,0,0,0,0,0.000021691,0
abandon,0,0,0,0,0.0000357271,0,0,0,0,0,0,0,0,0,0
abandona,0,0,0,0,0.0000178636,0,0,0,0,0,0,0,0,0,0
abandonan,0,0,0,0,0.0000178636,0,0,0,0,0,0,0,0,0,0
abandonar,0,0,0,0,0.0000178636,0,0,0,0,0,0,0,0,0,0
abandone,0,0,0,0,0,0,0,0,0,0.0000447796,0,0,0,0,0
abandonen,0,0.0000318445,0,0,0,0,0,0,0,0,0,0,0,0.00000723034,0
abandono,0,0.0000453246,0.00001832,0,0.0000162472,0.000133046,0,0,0,0,0,0,0,0.0000164656,0
abarata,0,0,0,0,0,0,0.0000858941,0,0,0,0,0,0,0,0
abarc,0.000900502,0,0.0000219652,0,0.00001948,0,0,0,0,0,0,0,0,0.00000493548,0
abarca,0,0,0,0,0,0,0,0.0000136635,0,0,0.000135011,0,0,0.0000118759,0
abarcar,0,0,0,0,0.0000142688,0,0,0,0,0.0000357685,0,0,0,0,0
abarcará,0,0,0,0,0.0000357271,0,0,0,0,0,0,0,0,0,0
abarcarán,0,0.0000199335,0,0,0,0,0,0,0,0,0,0,0,0,0
abarque,0,0.00000505363,0.00000510662,0,0.0000362307,0.0000370862,0,0.00000528062,0.0000179464,0.0000113527,0,0,0,0.00000229487,0
abarquen,0,0.0000130762,0,0,0.0000351549,0,0,0,0,0,0,0,0,0.0000118759,0
abarrotes,0,0.0000398671,0,0,0,0,0,0,0,0,0,0,0,0,0
abascal,0,0.0000362597,0.0000824398,0,0.00000812358,0.0000665232,0,0,0,0.0000407277,0,0,0,0,0
abasteci,0,0.0000159223,0,0,0,0,0,0,0,0,0,0,0,0.0000144607,0
abasto,0,0,0.0000804462,0,0,0,0.0000686093,0,0,0,0,0,0,0,0
abat,0,0,0,0,0.0000117183,0,0,0,0,0,0,0.000154954,0,0,0.000425036
abate,0,0,0,0,0,0,0.0000858941,0,0,0,0,0,0,0,0
abati,0,0,0,0,0.0000117183,0,0.0000563456,0,0,0.000029375,0,0,0,0,0
abatir,0,0,0,0,0.0000285377,0,0,0,0,0,0,0,0,0,0.000388159
abcd,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00000905188,0
abdomen,0,0,0,0,0.0000357271,0,0,0,0,0,0,0,0,0,0
abdominal,0,0,0,0,0.0000351549,0,0,0,0,0,0,0.000154954,0,0,0.000106259
abduc,0,0,0,0,0.0000535907,0,0,0,0,0,0,0,0,0,0
abert,0,0,0,0,0.0000178636,0,0,0,0,0,0,0,0,0,0
abierta,0,0.00000802258,0.00000810671,0,0,0.000029437,0.0000172847,0.0000125744,0.0000569794,0.0000270334,0,0,0,0.00000728615,0.0000325963
abiertas,0,0.0000248754,0,0,0.00000557307,0,0.0000267972,0.0000389891,0.0000220843,0,0,0,0,0.000025416,0.0000505353
abierto,0,0.00000401129,0.0000202668,0,0.0000323527,0,0.0000518542,0.00000838292,0.0000427345,0.00000901114,0,0,0,0.00000546461,0.0000977888
abiertos,0,0.0000217373,0.000054913,0.000188474,0,0,0,0,0,0,0,0,0,0.00000987095,0
abog,0,0.00000753989,0.0000304759,0,0.000108111,0,0.0000324896,0,0,0.000016938,0,0,0,0.00000342389,0
abol,0,0,0,0,0.0000357271,0,0,0,0,0,0,0,0,0,0
abona,0,0,0,0,0,0,0,0,0,0.0000447796,0,0,0,0,0
abonar,0,0.0000318445,0,0,0,0,0.000137219,0,0,0,0,0,0,0,0
abonará,0.000450251,0,0.0000109826,0,0.00000973999,0,0.0000936663,0,0,0,0,0,0,0,0
abonarán,0,0,0,0,0,0,0.000112691,0,0.0000928721,0.000029375,0,0,0,0,0
abonen,0,0,0,0,0,0,0.000171788,0,0,0,0,0,0,0,0
abono,0,0.0000226197,0,0,0.0000135138,0,0.0000974687,0.0000157571,0.0000535512,0,0,0,0,0.0000376628,0
abonos,0,0,0,0,0.0000649886,0.0000665232,0.0000781218,0.0000189442,0,0,0,0,0,0.00000823281,0
aboque,0,0,0,0,0,0.000146283,0,0,0,0,0,0,0,0,0
aborar,0,0,0,0,0,0,0,0,0,0,0,0,0.000165509,0,0
abordar,0,0,0,0,0,0,0,0,0,0,0.000493188,0,0,0.0000144607,0
